param nu:=30;
param m:=800;
param n:=4;
param x: 1 2 3 4:=
1  0.033 0.33 0.691 0.422
2  0.25 0.637 0.864 0.302
3  0.365 0.765 0.318 0.136
4  0.761 0.082 0.551 0.565
5  0.982 0.219 0.454 0.519
6  0.555 0.729 0.629 0.796
7  0.275 0.83 0.914 0.965
8  0.12 0.216 0.889 0.984
9  0.914 0.349 0.283 0.231
10  0.389 0.992 0.566 0.94
11  0.309 0.922 0.776 0.764
12  0.349 0.319 0.169 0.978
13  0.753 0.253 0.945 0.667
14  0.197 0.787 0.434 0.085
15  0.951 0.999 0.119 0.234
16  0.603 0.623 0.222 0.169
17  0.779 0.478 0.485 0.555
18  0.926 0.904 0.561 0.095
19  0.676 0.848 0.136 0.62
20  0.354 0.817 0.301 0.788
21  0.072 0.739 0.901 0.19
22  0.131 0.793 0.596 0.354
23  0.16 0.133 0.44 0.645
24  0.682 0.571 0.592 0.243
25  0.474 0.919 0.514 0.61
26  0.029 0.964 0.356 0.331
27  0.258 0.402 0.492 0.159
28  0.465 0.29 0.386 0.061
29  0.348 0.22 0.777 0.788
30  0.465 0.471 0.436 0.057
31  0.102 0.531 0.632 0.617
32  0.171 0.646 0.105 0.526
33  0.858 0.784 0.379 0.349
34  0.972 0.814 0.234 0.358
35  0.878 0.706 0.095 0.655
36  0.96 0.12 0.965 0.396
37  0.678 0.498 0.708 0.31
38  0.849 0.481 0.761 0.954
39  0.738 0.812 0.791 0.117
40  0.735 0.089 0.975 0.968
41  0.85 0.846 0.153 0.944
42  0.647 0.904 0.62 0.611
43  0.797 0.29 0.799 0.505
44  0.914 0.354 0.081 0.675
45  0.088 0.413 0.12 0.879
46  0.282 0.614 0.62 0.257
47  0.066 0.106 0.428 0.219
48  0.929 0.866 0.955 0.549
49  0.255 0.346 0.767 0.054
50  0.366 0.968 0.204 0.447
51  0.513 0.535 0.056 0.633
52  0.586 0.915 0.029 0.206
53  0.611 0.272 0.277 0.039
54  0.328 0.967 0.357 0.283
55  0.834 0.538 0.863 0.601
56  0.713 0.967 0.56 0.918
57  0.203 0.431 0.949 0.259
58  0.364 0.845 0.978 0.393
59  0.149 0.003 0.324 0.427
